step,kinetic,potential,total
0,12.4372,-4.43003,8.00721
20,12.5911,-4.58387,8.00722
40,13.0788,-5.10415,7.97467
60,14.0727,-6.19581,7.87691
80,15.9599,-8.04989,7.91
100,19.3257,-11.4161,7.90963
120,21.8021,-13.8102,7.99188
140,23.6759,-15.644,8.03186
160,26.798,-18.7651,8.03297
180,22.3087,-14.2233,8.08539
200,26.2235,-18.1509,8.0726
220,25.1049,-17.0186,8.08634
240,26.9874,-18.9854,8.00207
260,25.4232,-17.4007,8.02256
280,29.4066,-21.4002,8.00638
300,25.6796,-17.6716,8.00801
320,29.1518,-21.0965,8.05525
340,27.6381,-19.6943,7.9438
360,28.4536,-20.4951,7.95855
380,28.9576,-21.063,7.89456
400,31.5425,-23.7317,7.81074
420,29.6806,-21.9408,7.73981
440,29.6052,-21.8463,7.75888
460,28.9568,-21.1746,7.78225
480,35.6899,-27.915,7.77497
500,32.3075,-24.4606,7.84693
520,32.5824,-24.6882,7.8942
540,27.6879,-19.7892,7.89869
560,31.1703,-23.214,7.95624
580,28.0317,-20.1346,7.89709
600,31.8346,-23.9421,7.89254
620,27.8779,-19.9971,7.88076
640,28.9568,-21.0303,7.92652
660,31.8731,-23.9474,7.92566
680,32.8618,-25.0322,7.82962
700,29.1937,-21.3417,7.85202
720,31.4973,-23.5902,7.9071
740,31.5027,-23.6917,7.81101
760,32.911,-25.1597,7.75128
780,33.782,-26.1127,7.66935
800,34.0827,-26.3738,7.70893
820,34.9776,-27.2698,7.7078
840,32.4011,-24.701,7.70016
860,33.5416,-25.7833,7.7583
880,33.0173,-25.2065,7.81074
900,32.3195,-24.4583,7.86128
920,33.6031,-25.8178,7.78539
940,33.4543,-25.6286,7.82566
960,33.3291,-25.5021,7.82697
980,31.7874,-23.9562,7.83113
1000,33.6114,-25.8031,7.80827
1020,34.4871,-26.6115,7.87556
1040,27.2806,-19.4083,7.87233
1060,31.5961,-23.649,7.94711
1080,32.7442,-24.871,7.87318
1100,31.8362,-23.9608,7.87538
1120,31.8175,-24.0097,7.80775
1140,30.8774,-22.9718,7.90564
1160,30.8192,-22.9792,7.83999
1180,31.8274,-23.954,7.87347
1200,32.858,-24.9959,7.86211
1220,33.0671,-25.2771,7.78993
1240,32.4855,-24.6464,7.83913
1260,34.0241,-26.2295,7.79464
1280,32.7854,-24.9564,7.82902
1300,31.043,-23.2059,7.8371
1320,34.206,-26.3655,7.84052
1340,33.9166,-26.0715,7.8452
1360,33.4621,-25.7029,7.75926
1380,32.3692,-24.5652,7.80396
1400,33.783,-25.972,7.811
1420,31.1172,-23.27,7.84724
1440,30.1184,-22.2329,7.8855
1460,31.1548,-23.3705,7.78432
1480,35.6427,-27.8804,7.76232
1500,33.8417,-26.0403,7.80137
1520,31.6784,-23.8802,7.79818
1540,36.4992,-28.7097,7.78952
1560,36.6893,-28.914,7.77536
1580,33.3389,-25.4577,7.88121
1600,36.1904,-28.3771,7.81333
1620,35.3507,-27.5897,7.76106
1640,33.1856,-25.439,7.74657
1660,33.7918,-26.0124,7.77938
1680,35.6473,-27.9103,7.73697
1700,34.4925,-26.8016,7.69093
1720,34.4067,-26.7111,7.69564
1740,30.3782,-22.6201,7.75808
